date,wm_yr_wk,weekday,wday,month,year,d,event_name_1_col,event_type_1_col,event_name_2_col,event_type_2_col,snap_CA_col,snap_TX_col,snap_WI_col
2011-03-24,11108,Thursday,6,3,2011,d_55_col,,,,,0,0,0
2011-03-25,11108,Friday,7,3,2011,d_56_col,,,,,0,0,0
2011-03-26,11109,Saturday,1,3,2011,d_57_col,,,,,0,0,0
2011-03-27,11109,Sunday,2,3,2011,d_58_col,,,,,0,0,0
2011-03-28,11109,Monday,3,3,2011,d_59_col,,,,,0,0,0
2011-03-29,11109,Tuesday,4,3,2011,d_60_col,,,,,0,0,0
2011-03-30,11109,Wednesday,5,3,2011,d_61_col,,,,,0,0,0
2011-03-31,11109,Thursday,6,3,2011,d_62_col,,,,,0,0,0
2011-04-01,11109,Friday,7,4,2011,d_63_col,,,,,1,1,0
2011-04-02,11110,Saturday,1,4,2011,d_64_col,,,,,1,0,1
2011-04-03,11110,Sunday,2,4,2011,d_65_col,,,,,1,1,1
2011-04-04,11110,Monday,3,4,2011,d_66_col,,,,,1,0,0
2011-04-05,11110,Tuesday,4,4,2011,d_67_col,,,,,1,1,1
2011-04-06,11110,Wednesday,5,4,2011,d_68_col,,,,,1,1,1
2011-04-07,11110,Thursday,6,4,2011,d_69_col,,,,,1,1,0
2011-04-08,11110,Friday,7,4,2011,d_70_col,,,,,1,0,1
2011-04-09,11111,Saturday,1,4,2011,d_71_col,,,,,1,1,1
2011-04-10,11111,Sunday,2,4,2011,d_72_col,,,,,1,0,0
2011-04-11,11111,Monday,3,4,2011,d_73_col,,,,,0,1,1
2011-04-12,11111,Tuesday,4,4,2011,d_74_col,,,,,0,1,1
2011-04-13,11111,Wednesday,5,4,2011,d_75_col,,,,,0,1,0
2011-04-14,11111,Thursday,6,4,2011,d_76_col,,,,,0,0,1
2011-04-15,11111,Friday,7,4,2011,d_77_col,,,,,0,1,1
2011-04-16,11112,Saturday,1,4,2011,d_78_col,,,,,0,0,0
2011-04-17,11112,Sunday,2,4,2011,d_79_col,,,,,0,0,0
2011-04-18,11112,Monday,3,4,2011,d_80_col,,,,,0,0,0
2011-04-19,11112,Tuesday,4,4,2011,d_81_col,,,,,0,0,0
2011-04-20,11112,Wednesday,5,4,2011,d_82_col,,,,,0,0,0
2011-04-21,11112,Thursday,6,4,2011,d_83_col,,,,,0,0,0
2011-04-22,11112,Friday,7,4,2011,d_84_col,,,,,0,0,0
2011-04-23,11113,Saturday,1,4,2011,d_85_col,,,,,0,0,0
2011-04-24,11113,Sunday,2,4,2011,d_86_col,OrthodoxEaster,Religious,Easter,Cultural,0,0,0
2011-04-25,11113,Monday,3,4,2011,d_87_col,,,,,0,0,0
2011-04-26,11113,Tuesday,4,4,2011,d_88_col,Pesach End,Religious,,,0,0,0
2011-04-27,11113,Wednesday,5,4,2011,d_89_col,,,,,0,0,0
2011-04-28,11113,Thursday,6,4,2011,d_90_col,,,,,0,0,0
2011-04-29,11113,Friday,7,4,2011,d_91_col,,,,,0,0,0
2011-04-30,11114,Saturday,1,4,2011,d_92_col,,,,,0,0,0
2011-05-01,11114,Sunday,2,5,2011,d_93_col,,,,,1,1,0
2011-05-02,11114,Monday,3,5,2011,d_94_col,,,,,1,0,1
2011-05-03,11114,Tuesday,4,5,2011,d_95_col,,,,,1,1,1
2011-05-04,11114,Wednesday,5,5,2011,d_96_col,,,,,1,0,0
2011-05-05,11114,Thursday,6,5,2011,d_97_col,Cinco De Mayo,Cultural,,,1,1,1
2011-05-06,11114,Friday,7,5,2011,d_98_col,,,,,1,1,1
2011-05-07,11115,Saturday,1,5,2011,d_99_col,,,,,1,1,0
2011-05-08,11115,Sunday,2,5,2011,d_100_col,Mother's day,Cultural,,,1,0,1
2011-05-09,11115,Monday,3,5,2011,d_101_col,,,,,1,1,1
2011-05-10,11115,Tuesday,4,5,2011,d_102_col,,,,,1,0,0
2011-05-11,11115,Wednesday,5,5,2011,d_103_col,,,,,0,1,1
2011-05-12,11115,Thursday,6,5,2011,d_104_col,,,,,0,1,1
2011-05-13,11115,Friday,7,5,2011,d_105_col,,,,,0,1,0
2011-05-14,11116,Saturday,1,5,2011,d_106_col,,,,,0,0,1
2011-05-15,11116,Sunday,2,5,2011,d_107_col,,,,,0,1,1
2011-05-16,11116,Monday,3,5,2011,d_108_col,,,,,0,0,0
2011-05-17,11116,Tuesday,4,5,2011,d_109_col,,,,,0,0,0
2011-05-18,11116,Wednesday,5,5,2011,d_110_col,,,,,0,0,0
2011-05-19,11116,Thursday,6,5,2011,d_111_col,,,,,0,0,0
2011-05-20,11116,Friday,7,5,2011,d_112_col,,,,,0,0,0
2011-05-21,11117,Saturday,1,5,2011,d_113_col,,,,,0,0,0
2011-05-22,11117,Sunday,2,5,2011,d_114_col,,,,,0,0,0
2011-05-23,11117,Monday,3,5,2011,d_115_col,,,,,0,0,0
2011-05-24,11117,Tuesday,4,5,2011,d_116_col,,,,,0,0,0
2011-05-25,11117,Wednesday,5,5,2011,d_117_col,,,,,0,0,0
2011-05-26,11117,Thursday,6,5,2011,d_118_col,,,,,0,0,0
2011-05-27,11117,Friday,7,5,2011,d_119_col,,,,,0,0,0
2011-05-28,11118,Saturday,1,5,2011,d_120_col,,,,,0,0,0
2011-05-29,11118,Sunday,2,5,2011,d_121_col,,,,,0,0,0
2011-05-30,11118,Monday,3,5,2011,d_122_col,MemorialDay,National,,,0,0,0
2011-05-31,11118,Tuesday,4,5,2011,d_123_col,NBAFinalsStart,Sporting,,,0,0,0
2011-06-01,11118,Wednesday,5,6,2011,d_124_col,,,,,1,1,0
2011-06-02,11118,Thursday,6,6,2011,d_125_col,,,,,1,0,1
2011-06-03,11118,Friday,7,6,2011,d_126_col,,,,,1,1,1
2011-06-04,11119,Saturday,1,6,2011,d_127_col,,,,,1,0,0
2011-06-05,11119,Sunday,2,6,2011,d_128_col,,,,,1,1,1
2011-06-06,11119,Monday,3,6,2011,d_129_col,,,,,1,1,1
2011-06-07,11119,Tuesday,4,6,2011,d_130_col,,,,,1,1,0
2011-06-08,11119,Wednesday,5,6,2011,d_131_col,,,,,1,0,1
2011-06-09,11119,Thursday,6,6,2011,d_132_col,,,,,1,1,1
2011-06-10,11119,Friday,7,6,2011,d_133_col,,,,,1,0,0
2011-06-11,11120,Saturday,1,6,2011,d_134_col,,,,,0,1,1
2011-06-12,11120,Sunday,2,6,2011,d_135_col,NBAFinalsEnd,Sporting,,,0,1,1
2011-06-13,11120,Monday,3,6,2011,d_136_col,,,,,0,1,0
2011-06-14,11120,Tuesday,4,6,2011,d_137_col,,,,,0,0,1
2011-06-15,11120,Wednesday,5,6,2011,d_138_col,,,,,0,1,1
2011-06-16,11120,Thursday,6,6,2011,d_139_col,,,,,0,0,0
2011-06-17,11120,Friday,7,6,2011,d_140_col,,,,,0,0,0
2011-06-18,11121,Saturday,1,6,2011,d_141_col,,,,,0,0,0
2011-06-19,11121,Sunday,2,6,2011,d_142_col,Father's day,Cultural,,,0,0,0
2011-06-20,11121,Monday,3,6,2011,d_143_col,,,,,0,0,0
2011-06-21,11121,Tuesday,4,6,2011,d_144_col,,,,,0,0,0
2011-06-22,11121,Wednesday,5,6,2011,d_145_col,,,,,0,0,0
2011-06-23,11121,Thursday,6,6,2011,d_146_col,,,,,0,0,0
2011-06-24,11121,Friday,7,6,2011,d_147_col,,,,,0,0,0
2011-06-25,11122,Saturday,1,6,2011,d_148_col,,,,,0,0,0
2011-06-26,11122,Sunday,2,6,2011,d_149_col,,,,,0,0,0
2011-06-27,11122,Monday,3,6,2011,d_150_col,,,,,0,0,0
2011-06-28,11122,Tuesday,4,6,2011,d_151_col,,,,,0,0,0
2011-06-29,11122,Wednesday,5,6,2011,d_152_col,,,,,0,0,0
2011-06-30,11122,Thursday,6,6,2011,d_153_col,,,,,0,0,0
2011-07-01,11122,Friday,7,7,2011,d_154_col,,,,,1,1,0
2011-07-02,11123,Saturday,1,7,2011,d_155_col,,,,,1,0,1
2011-07-03,11123,Sunday,2,7,2011,d_156_col,,,,,1,1,1
2011-07-04,11123,Monday,3,7,2011,d_157_col,IndependenceDay,National,,,1,0,0
2011-07-05,11123,Tuesday,4,7,2011,d_158_col,,,,,1,1,1
2011-07-06,11123,Wednesday,5,7,2011,d_159_col,,,,,1,1,1
2011-07-07,11123,Thursday,6,7,2011,d_160_col,,,,,1,1,0
2011-07-08,11123,Friday,7,7,2011,d_161_col,,,,,1,0,1
2011-07-09,11124,Saturday,1,7,2011,d_162_col,,,,,1,1,1
2011-07-10,11124,Sunday,2,7,2011,d_163_col,,,,,1,0,0
2011-07-11,11124,Monday,3,7,2011,d_164_col,,,,,0,1,1
2011-07-12,11124,Tuesday,4,7,2011,d_165_col,,,,,0,1,1
2011-07-13,11124,Wednesday,5,7,2011,d_166_col,,,,,0,1,0
2011-07-14,11124,Thursday,6,7,2011,d_167_col,,,,,0,0,1
2011-07-15,11124,Friday,7,7,2011,d_168_col,,,,,0,1,1
2011-07-16,11125,Saturday,1,7,2011,d_169_col,,,,,0,0,0
2011-07-17,11125,Sunday,2,7,2011,d_170_col,,,,,0,0,0
2011-07-18,11125,Monday,3,7,2011,d_171_col,,,,,0,0,0
2011-07-19,11125,Tuesday,4,7,2011,d_172_col,,,,,0,0,0
2011-07-20,11125,Wednesday,5,7,2011,d_173_col,,,,,0,0,0
2011-07-21,11125,Thursday,6,7,2011,d_174_col,,,,,0,0,0
2011-07-22,11125,Friday,7,7,2011,d_175_col,,,,,0,0,0
2011-07-23,11126,Saturday,1,7,2011,d_176_col,,,,,0,0,0
2011-07-24,11126,Sunday,2,7,2011,d_177_col,,,,,0,0,0
2011-07-25,11126,Monday,3,7,2011,d_178_col,,,,,0,0,0
2011-07-26,11126,Tuesday,4,7,2011,d_179_col,,,,,0,0,0
2011-07-27,11126,Wednesday,5,7,2011,d_180_col,,,,,0,0,0
2011-07-28,11126,Thursday,6,7,2011,d_181_col,,,,,0,0,0
2011-07-29,11126,Friday,7,7,2011,d_182_col,,,,,0,0,0
2011-07-30,11127,Saturday,1,7,2011,d_183_col,,,,,0,0,0
2011-07-31,11127,Sunday,2,7,2011,d_184_col,,,,,0,0,0
2011-08-01,11127,Monday,3,8,2011,d_185_col,Ramadan starts,Religious,,,1,1,0
2011-08-02,11127,Tuesday,4,8,2011,d_186_col,,,,,1,0,1
2011-08-03,11127,Wednesday,5,8,2011,d_187_col,,,,,1,1,1
2011-08-04,11127,Thursday,6,8,2011,d_188_col,,,,,1,0,0
2011-08-05,11127,Friday,7,8,2011,d_189_col,,,,,1,1,1
2011-08-06,11128,Saturday,1,8,2011,d_190_col,,,,,1,1,1
2011-08-07,11128,Sunday,2,8,2011,d_191_col,,,,,1,1,0
2011-08-08,11128,Monday,3,8,2011,d_192_col,,,,,1,0,1
2011-08-09,11128,Tuesday,4,8,2011,d_193_col,,,,,1,1,1
2011-08-10,11128,Wednesday,5,8,2011,d_194_col,,,,,1,0,0
2011-08-11,11128,Thursday,6,8,2011,d_195_col,,,,,0,1,1
2011-08-12,11128,Friday,7,8,2011,d_196_col,,,,,0,1,1
2011-08-13,11129,Saturday,1,8,2011,d_197_col,,,,,0,1,0
2011-08-14,11129,Sunday,2,8,2011,d_198_col,,,,,0,0,1
2011-08-15,11129,Monday,3,8,2011,d_199_col,,,,,0,1,1
2011-08-16,11129,Tuesday,4,8,2011,d_200_col,,,,,0,0,0
2011-08-17,11129,Wednesday,5,8,2011,d_201_col,,,,,0,0,0
2011-08-18,11129,Thursday,6,8,2011,d_202_col,,,,,0,0,0
2011-08-19,11129,Friday,7,8,2011,d_203_col,,,,,0,0,0
2011-08-20,11130,Saturday,1,8,2011,d_204_col,,,,,0,0,0
2011-08-21,11130,Sunday,2,8,2011,d_205_col,,,,,0,0,0
2011-08-22,11130,Monday,3,8,2011,d_206_col,,,,,0,0,0
2011-08-23,11130,Tuesday,4,8,2011,d_207_col,,,,,0,0,0
2011-08-24,11130,Wednesday,5,8,2011,d_208_col,,,,,0,0,0
2011-08-25,11130,Thursday,6,8,2011,d_209_col,,,,,0,0,0
2011-08-26,11130,Friday,7,8,2011,d_210_col,,,,,0,0,0
2011-08-27,11131,Saturday,1,8,2011,d_211_col,,,,,0,0,0
2011-08-28,11131,Sunday,2,8,2011,d_212_col,,,,,0,0,0
2011-08-29,11131,Monday,3,8,2011,d_213_col,,,,,0,0,0
2011-08-30,11131,Tuesday,4,8,2011,d_214_col,,,,,0,0,0
2011-08-31,11131,Wednesday,5,8,2011,d_215_col,Eid al-Fitr,Religious,,,0,0,0
2011-09-01,11131,Thursday,6,9,2011,d_216_col,,,,,1,1,0
2011-09-02,11131,Friday,7,9,2011,d_217_col,,,,,1,0,1
2011-09-03,11132,Saturday,1,9,2011,d_218_col,,,,,1,1,1
2011-09-04,11132,Sunday,2,9,2011,d_219_col,,,,,1,0,0
2011-09-05,11132,Monday,3,9,2011,d_220_col,LaborDay,National,,,1,1,1
2011-09-06,11132,Tuesday,4,9,2011,d_221_col,,,,,1,1,1
2011-09-07,11132,Wednesday,5,9,2011,d_222_col,,,,,1,1,0
2011-09-08,11132,Thursday,6,9,2011,d_223_col,,,,,1,0,1
2011-09-09,11132,Friday,7,9,2011,d_224_col,,,,,1,1,1
2011-09-10,11133,Saturday,1,9,2011,d_225_col,,,,,1,0,0
2011-09-11,11133,Sunday,2,9,2011,d_226_col,,,,,0,1,1
2011-09-12,11133,Monday,3,9,2011,d_227_col,,,,,0,1,1
2011-09-13,11133,Tuesday,4,9,2011,d_228_col,,,,,0,1,0
2011-09-14,11133,Wednesday,5,9,2011,d_229_col,,,,,0,0,1
2011-09-15,11133,Thursday,6,9,2011,d_230_col,,,,,0,1,1
2011-09-16,11133,Friday,7,9,2011,d_231_col,,,,,0,0,0
2011-09-17,11134,Saturday,1,9,2011,d_232_col,,,,,0,0,0
2011-09-18,11134,Sunday,2,9,2011,d_233_col,,,,,0,0,0
2011-09-19,11134,Monday,3,9,2011,d_234_col,,,,,0,0,0
2011-09-20,11134,Tuesday,4,9,2011,d_235_col,,,,,0,0,0
2011-09-21,11134,Wednesday,5,9,2011,d_236_col,,,,,0,0,0
2011-09-22,11134,Thursday,6,9,2011,d_237_col,,,,,0,0,0
2011-09-23,11134,Friday,7,9,2011,d_238_col,,,,,0,0,0
2011-09-24,11135,Saturday,1,9,2011,d_239_col,,,,,0,0,0
2011-09-25,11135,Sunday,2,9,2011,d_240_col,,,,,0,0,0
2011-09-26,11135,Monday,3,9,2011,d_241_col,,,,,0,0,0
2011-09-27,11135,Tuesday,4,9,2011,d_242_col,,,,,0,0,0
2011-09-28,11135,Wednesday,5,9,2011,d_243_col,,,,,0,0,0
2011-09-29,11135,Thursday,6,9,2011,d_244_col,,,,,0,0,0
2011-09-30,11135,Friday,7,9,2011,d_245_col,,,,,0,0,0
2011-10-01,11136,Saturday,1,10,2011,d_246_col,,,,,1,1,0
2011-10-02,11136,Sunday,2,10,2011,d_247_col,,,,,1,0,1
2011-10-03,11136,Monday,3,10,2011,d_248_col,,,,,1,1,1
2011-10-04,11136,Tuesday,4,10,2011,d_249_col,,,,,1,0,0
2011-10-05,11136,Wednesday,5,10,2011,d_250_col,,,,,1,1,1
2011-10-06,11136,Thursday,6,10,2011,d_251_col,,,,,1,1,1
2011-10-07,11136,Friday,7,10,2011,d_252_col,,,,,1,1,0
2011-10-08,11137,Saturday,1,10,2011,d_253_col,,,,,1,0,1
2011-10-09,11137,Sunday,2,10,2011,d_254_col,,,,,1,1,1
2011-10-10,11137,Monday,3,10,2011,d_255_col,ColumbusDay,National,,,1,0,0
2011-10-11,11137,Tuesday,4,10,2011,d_256_col,,,,,0,1,1
2011-10-12,11137,Wednesday,5,10,2011,d_257_col,,,,,0,1,1
2011-10-13,11137,Thursday,6,10,2011,d_258_col,,,,,0,1,0
2011-10-14,11137,Friday,7,10,2011,d_259_col,,,,,0,0,1
2011-10-15,11138,Saturday,1,10,2011,d_260_col,,,,,0,1,1
2011-10-16,11138,Sunday,2,10,2011,d_261_col,,,,,0,0,0
2011-10-17,11138,Monday,3,10,2011,d_262_col,,,,,0,0,0
2011-10-18,11138,Tuesday,4,10,2011,d_263_col,,,,,0,0,0
2011-10-19,11138,Wednesday,5,10,2011,d_264_col,,,,,0,0,0
2011-10-20,11138,Thursday,6,10,2011,d_265_col,,,,,0,0,0
2011-10-21,11138,Friday,7,10,2011,d_266_col,,,,,0,0,0
2011-10-22,11139,Saturday,1,10,2011,d_267_col,,,,,0,0,0
2011-10-23,11139,Sunday,2,10,2011,d_268_col,,,,,0,0,0
2011-10-24,11139,Monday,3,10,2011,d_269_col,,,,,0,0,0
2011-10-25,11139,Tuesday,4,10,2011,d_270_col,,,,,0,0,0
2011-10-26,11139,Wednesday,5,10,2011,d_271_col,,,,,0,0,0
2011-10-27,11139,Thursday,6,10,2011,d_272_col,,,,,0,0,0
2011-10-28,11139,Friday,7,10,2011,d_273_col,,,,,0,0,0
2011-10-29,11140,Saturday,1,10,2011,d_274_col,,,,,0,0,0
2011-10-30,11140,Sunday,2,10,2011,d_275_col,,,,,0,0,0
2011-10-31,11140,Monday,3,10,2011,d_276_col,Halloween,Cultural,,,0,0,0
2011-11-01,11140,Tuesday,4,11,2011,d_277_col,,,,,1,1,0
2011-11-02,11140,Wednesday,5,11,2011,d_278_col,,,,,1,0,1
2011-11-03,11140,Thursday,6,11,2011,d_279_col,,,,,1,1,1
2011-11-04,11140,Friday,7,11,2011,d_280_col,,,,,1,0,0
2011-11-05,11141,Saturday,1,11,2011,d_281_col,,,,,1,1,1
2011-11-06,11141,Sunday,2,11,2011,d_282_col,,,,,1,1,1
2011-11-07,11141,Monday,3,11,2011,d_283_col,EidAlAdha,Religious,,,1,1,0
2011-11-08,11141,Tuesday,4,11,2011,d_284_col,,,,,1,0,1
2011-11-09,11141,Wednesday,5,11,2011,d_285_col,,,,,1,1,1
2011-11-10,11141,Thursday,6,11,2011,d_286_col,,,,,1,0,0
2011-11-11,11141,Friday,7,11,2011,d_287_col,VeteransDay,National,,,0,1,1
2011-11-12,11142,Saturday,1,11,2011,d_288_col,,,,,0,1,1
2011-11-13,11142,Sunday,2,11,2011,d_289_col,,,,,0,1,0
2011-11-14,11142,Monday,3,11,2011,d_290_col,,,,,0,0,1
2011-11-15,11142,Tuesday,4,11,2011,d_291_col,,,,,0,1,1
2011-11-16,11142,Wednesday,5,11,2011,d_292_col,,,,,0,0,0
2011-11-17,11142,Thursday,6,11,2011,d_293_col,,,,,0,0,0
2011-11-18,11142,Friday,7,11,2011,d_294_col,,,,,0,0,0
2011-11-19,11143,Saturday,1,11,2011,d_295_col,,,,,0,0,0
2011-11-20,11143,Sunday,2,11,2011,d_296_col,,,,,0,0,0
2011-11-21,11143,Monday,3,11,2011,d_297_col,,,,,0,0,0
2011-11-22,11143,Tuesday,4,11,2011,d_298_col,,,,,0,0,0
2011-11-23,11143,Wednesday,5,11,2011,d_299_col,,,,,0,0,0
2011-11-24,11143,Thursday,6,11,2011,d_300_col,Thanksgiving,National,,,0,0,0
2011-11-25,11143,Friday,7,11,2011,d_301_col,,,,,0,0,0
2011-11-26,11144,Saturday,1,11,2011,d_302_col,,,,,0,0,0
2011-11-27,11144,Sunday,2,11,2011,d_303_col,,,,,0,0,0
2011-11-28,11144,Monday,3,11,2011,d_304_col,,,,,0,0,0
2011-11-29,11144,Tuesday,4,11,2011,d_305_col,,,,,0,0,0
2011-11-30,11144,Wednesday,5,11,2011,d_306_col,,,,,0,0,0
2011-12-01,11144,Thursday,6,12,2011,d_307_col,,,,,1,1,0
2011-12-02,11144,Friday,7,12,2011,d_308_col,,,,,1,0,1
2011-12-03,11145,Saturday,1,12,2011,d_309_col,,,,,1,1,1
2011-12-04,11145,Sunday,2,12,2011,d_310_col,,,,,1,0,0
2011-12-05,11145,Monday,3,12,2011,d_311_col,,,,,1,1,1
2011-12-06,11145,Tuesday,4,12,2011,d_312_col,,,,,1,1,1
2011-12-07,11145,Wednesday,5,12,2011,d_313_col,,,,,1,1,0
2011-12-08,11145,Thursday,6,12,2011,d_314_col,,,,,1,0,1
2011-12-09,11145,Friday,7,12,2011,d_315_col,,,,,1,1,1
2011-12-10,11146,Saturday,1,12,2011,d_316_col,,,,,1,0,0
2011-12-11,11146,Sunday,2,12,2011,d_317_col,,,,,0,1,1
2011-12-12,11146,Monday,3,12,2011,d_318_col,,,,,0,1,1
2011-12-13,11146,Tuesday,4,12,2011,d_319_col,,,,,0,1,0
2011-12-14,11146,Wednesday,5,12,2011,d_320_col,,,,,0,0,1
2011-12-15,11146,Thursday,6,12,2011,d_321_col,,,,,0,1,1
2011-12-16,11146,Friday,7,12,2011,d_322_col,,,,,0,0,0
2011-12-17,11147,Saturday,1,12,2011,d_323_col,,,,,0,0,0
2011-12-18,11147,Sunday,2,12,2011,d_324_col,,,,,0,0,0
2011-12-19,11147,Monday,3,12,2011,d_325_col,,,,,0,0,0
2011-12-20,11147,Tuesday,4,12,2011,d_326_col,,,,,0,0,0
2011-12-21,11147,Wednesday,5,12,2011,d_327_col,,,,,0,0,0
2011-12-22,11147,Thursday,6,12,2011,d_328_col,,,,,0,0,0
2011-12-23,11147,Friday,7,12,2011,d_329_col,,,,,0,0,0
2011-12-24,11148,Saturday,1,12,2011,d_330_col,,,,,0,0,0
2011-12-25,11148,Sunday,2,12,2011,d_331_col,Christmas,National,,,0,0,0
2011-12-26,11148,Monday,3,12,2011,d_332_col,,,,,0,0,0
2011-12-27,11148,Tuesday,4,12,2011,d_333_col,,,,,0,0,0
2011-12-28,11148,Wednesday,5,12,2011,d_334_col,Chanukah End,Religious,,,0,0,0
2011-12-29,11148,Thursday,6,12,2011,d_335_col,,,,,0,0,0
2011-12-30,11148,Friday,7,12,2011,d_336_col,,,,,0,0,0
2011-12-31,11149,Saturday,1,12,2011,d_337_col,,,,,0,0,0
2012-01-01,11149,Sunday,2,1,2012,d_338_col,NewYear,National,,,1,1,0
2012-01-02,11149,Monday,3,1,2012,d_339_col,,,,,1,0,1
2012-01-03,11149,Tuesday,4,1,2012,d_340_col,,,,,1,1,1
2012-01-04,11149,Wednesday,5,1,2012,d_341_col,,,,,1,0,0
2012-01-05,11149,Thursday,6,1,2012,d_342_col,,,,,1,1,1
2012-01-06,11149,Friday,7,1,2012,d_343_col,,,,,1,1,1
2012-01-07,11150,Saturday,1,1,2012,d_344_col,OrthodoxChristmas,Religious,,,1,1,0
2012-01-08,11150,Sunday,2,1,2012,d_345_col,,,,,1,0,1
2012-01-09,11150,Monday,3,1,2012,d_346_col,,,,,1,1,1
2012-01-10,11150,Tuesday,4,1,2012,d_347_col,,,,,1,0,0
2012-01-11,11150,Wednesday,5,1,2012,d_348_col,,,,,0,1,1
2012-01-12,11150,Thursday,6,1,2012,d_349_col,,,,,0,1,1
2012-01-13,11150,Friday,7,1,2012,d_350_col,,,,,0,1,0
2012-01-14,11151,Saturday,1,1,2012,d_351_col,,,,,0,0,1
2012-01-15,11151,Sunday,2,1,2012,d_352_col,,,,,0,1,1
2012-01-16,11151,Monday,3,1,2012,d_353_col,MartinLutherKingDay,National,,,0,0,0
2012-01-17,11151,Tuesday,4,1,2012,d_354_col,,,,,0,0,0
2012-01-18,11151,Wednesday,5,1,2012,d_355_col,,,,,0,0,0
2012-01-19,11151,Thursday,6,1,2012,d_356_col,,,,,0,0,0
2012-01-20,11151,Friday,7,1,2012,d_357_col,,,,,0,0,0
